airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,lat,long
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",17762.0,2859.0,1100.1000000000001,186.73999999999998,695.1899999999998,1.82,875.1399999999999,616.0,56.0,685.2293906810036,298.8100358422939,57.27598566308244,108.4910394265233,0.2222222222222222,220.43010752688173,40.65472222,-75.43833333
ABI,"Abilene, TX: Abilene Regional",6536.0,1015.0,294.2100000000001,76.38999999999999,263.96000000000004,0.96,379.40999999999997,181.0,11.0,1079.826923076923,282.34615384615387,130.8846153846154,216.46153846153845,0.5961538461538461,449.53846153846155,32.40944444,-99.67972222
ABQ,"Albuquerque, NM: Albuquerque International Sunport",102832.0,17755.0,6342.1500000000015,435.59,3180.6600000000003,49.28999999999999,7747.290000000003,1912.0,136.0,1455.829754601227,530.8021472392638,61.6319018404908,179.1426380368098,3.4478527607361964,680.8052147239264,35.04166667,-106.6063889
ABR,"Aberdeen, SD: Aberdeen Regional",3792.0,365.0,137.94,34.599999999999994,91.18,0.0,101.30000000000001,69.0,13.0,610.8064516129032,252.58064516129033,158.79032258064515,59.096774193548384,0.0,140.33870967741936,45.44972222,-98.42166667
ABY,"Albany, GA: Southwest Georgia Regional",4579.0,714.0,303.56000000000006,59.42000000000001,123.30999999999996,0.61,227.14000000000001,51.0,16.0,866.5806451612904,403.7903225806452,145.48387096774192,96.53225806451613,0.22580645161290322,220.5483870967742,31.53222222,-84.19611111
ACK,"Nantucket, MA: Nantucket Memorial",3879.0,688.0,263.19,82.13999999999999,129.53999999999996,1.0,212.12,92.0,28.0,1082.3818181818183,376.54545454545456,185.3090909090909,137.45454545454547,1.709090909090909,381.3636363636364,41.25666667,-70.05972222
ACT,"Waco, TX: Waco Regional",6474.0,985.0,342.89,47.77,224.31,0.31,369.74999999999994,281.0,11.0,895.8524590163935,370.7049180327869,56.868852459016395,123.80327868852459,0.26229508196721313,344.21311475409834,31.61138889,-97.22861111
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County",7464.0,1458.0,457.96999999999997,92.29,245.64999999999998,0.0,662.0499999999997,361.0,70.0,1973.2096774193549,762.516129032258,256.11290322580646,181.25806451612902,0.0,773.3225806451613,40.97916667,-124.1075
ACY,"Atlantic City, NJ: Atlantic City International",15867.0,2874.0,557.7899999999998,72.65,1490.8199999999997,20.5,732.2099999999999,364.0,25.0,3432.1935483870966,604.8225806451613,103.33870967741936,1680.483870967742,12.32258064516129,1031.225806451613,39.45611111,-74.57805556
ADK,"Adak Island, AK: Adak",538.0,104.0,22.289999999999996,3.94,41.76,2.63,33.36,31.0,1.0,70.45161290322581,18.79032258064516,4.241935483870968,22.580645161290324,1.4193548387096775,23.419354838709676,51.88277778,-176.6447222
ADQ,"Kodiak, AK: Kodiak Airport",3036.0,321.0,112.03000000000002,57.58,83.81999999999996,0.0,67.57,122.0,4.0,241.25806451612902,79.33870967741936,62.774193548387096,44.806451612903224,0.0,54.33870967741935,57.75,-152.4938889
AEX,"Alexandria, LA: Alexandria International",14048.0,2123.0,780.7000000000003,99.66000000000001,570.8200000000002,0.65,671.2099999999997,302.0,57.0,938.5862068965517,393.1448275862069,87.57931034482759,159.6206896551724,0.07586206896551724,298.1655172413793,31.32416667,-92.54694444
AGS,"Augusta, GA: Augusta Regional at Bush Field",17948.0,2929.0,1129.7900000000006,187.57000000000014,597.6100000000004,3.55,1010.44,322.0,30.0,910.331797235023,341.9953917050691,106.11520737327189,115.3225806451613,0.8248847926267281,346.073732718894,33.36916667,-81.96444444
AKN,"King Salmon, AK: King Salmon Airport",515.0,42.0,15.14,4.18,11.83,0.0,10.83,9.0,1.0,79.3,34.35,10.05,16.9,0.0,18.0,58.67777778,-156.6516667
